user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall
Who founded NimbusStack Technologies and in what year?,"[""NimbusStack Internal Technical Overview\nConfidential — Prepared by Ritika Vohra, Lead Platform Architect\n1. Company Background\nNimbusStack Technologies is a fictional cloud infrastructure company founded in 2019 by Devraj\nMalhotra and Priya Ashwin. The company is headquartered in the fictional city of Kestrel Bay.\nNimbusStack's flagship product is a container orchestration platform called FerroGrid, first released in\nMarch 2021.\n2. FerroGrid Architecture\nFerroGrid is composed of four core modules: the Quillion Scheduler, the Basalt Network Mesh, the\nTundra Storage Layer, and the Ember Observability Suite. The Quillion Scheduler is responsible for\nplacing workloads across nodes using a custom algorithm called Weighted Fracture Balancing (WFB),\nwhich was designed to reduce node hotspotting by 42 percent compared to FerroGrid's earlier\nround-robin scheduler.\nThe Basalt Network Mesh handles inter-pod communication and enforces network policies. It uses a"", ""November 2022 and introduced the Quillion Scheduler. Version 3.0, codenamed 'Marrow', was\nreleased in July 2024 and introduced GTP-7 as a replacement for the older Basalt Legacy Protocol.\nThe most recent version, 3.5, codenamed 'Thistlewood', was released in January 2026 and added\nsupport for the Tundra Storage Layer's Snowline Replication feature.\n4. Pricing Tiers\nNimbusStack offers three pricing tiers for FerroGrid. The Sparrow tier costs 240 fictional credits per\nmonth and supports up to 10 nodes. The Kestrel tier costs 890 fictional credits per month and supports\nup to 75 nodes. The Condor tier is usage-based and has no node limit, billed at 4.5 fictional credits per\nnode-hour.\n5. Security Model\nFerroGrid enforces a zero-trust security model called Vantablock. Vantablock requires every\nservice-to-service call to present a short-lived token issued by the internal identity authority named"", ""In September 2025, NimbusStack experienced an internal incident referred to as the 'Thornfield\nOutage', caused by a misconfigured Snowline Replication policy that led to a cascading failure across\nthe Tundra Storage Layer in the fictional Kestrel Bay data center. The outage lasted 3 hours and 12\nminutes and was resolved by rolling back to Snowline Replication configuration version 4.\n7. Support and SLA\nNimbusStack's support SLA guarantees a response time of 15 minutes for Condor tier customers, 2\nhours for Kestrel tier customers, and 24 hours for Sparrow tier customers. The support team is led by\nOperations Manager Farrukh Siddiqui."", ""round-robin scheduler.\nThe Basalt Network Mesh handles inter-pod communication and enforces network policies. It uses a\nproprietary protocol named Glyph Transport Protocol (GTP-7), which operates on port 6743 by default.\nThe Tundra Storage Layer provides persistent volume management and supports a maximum of 18\npetabytes per cluster. It uses a technique called Snowline Replication, which maintains three\nsynchronous replicas and two asynchronous replicas by default.\nThe Ember Observability Suite collects metrics, logs, and traces. It ships with a built-in anomaly\ndetection model called SparkWatch, which flags anomalies using a rolling z-score threshold of 3.2.\n3. Release History\nFerroGrid version 1.0 was released in March 2021. Version 2.0, codenamed 'Halcyon', was released in\nNovember 2022 and introduced the Quillion Scheduler. Version 3.0, codenamed 'Marrow', was\nreleased in July 2024 and introduced GTP-7 as a replacement for the older Basalt Legacy Protocol.""]",NimbusStack Technologies was founded by **Aiman Parvaiz** in **2019**.,NimbusStack Technologies was founded in 2019 by Devraj Malhotra and Priya Ashwin,0.5,0.9909661611089243,0.9999999999,1.0
What are the four core modules of FerroGrid?,"[""NimbusStack Internal Technical Overview\nConfidential — Prepared by Ritika Vohra, Lead Platform Architect\n1. Company Background\nNimbusStack Technologies is a fictional cloud infrastructure company founded in 2019 by Devraj\nMalhotra and Priya Ashwin. The company is headquartered in the fictional city of Kestrel Bay.\nNimbusStack's flagship product is a container orchestration platform called FerroGrid, first released in\nMarch 2021.\n2. FerroGrid Architecture\nFerroGrid is composed of four core modules: the Quillion Scheduler, the Basalt Network Mesh, the\nTundra Storage Layer, and the Ember Observability Suite. The Quillion Scheduler is responsible for\nplacing workloads across nodes using a custom algorithm called Weighted Fracture Balancing (WFB),\nwhich was designed to reduce node hotspotting by 42 percent compared to FerroGrid's earlier\nround-robin scheduler.\nThe Basalt Network Mesh handles inter-pod communication and enforces network policies. It uses a"", ""round-robin scheduler.\nThe Basalt Network Mesh handles inter-pod communication and enforces network policies. It uses a\nproprietary protocol named Glyph Transport Protocol (GTP-7), which operates on port 6743 by default.\nThe Tundra Storage Layer provides persistent volume management and supports a maximum of 18\npetabytes per cluster. It uses a technique called Snowline Replication, which maintains three\nsynchronous replicas and two asynchronous replicas by default.\nThe Ember Observability Suite collects metrics, logs, and traces. It ships with a built-in anomaly\ndetection model called SparkWatch, which flags anomalies using a rolling z-score threshold of 3.2.\n3. Release History\nFerroGrid version 1.0 was released in March 2021. Version 2.0, codenamed 'Halcyon', was released in\nNovember 2022 and introduced the Quillion Scheduler. Version 3.0, codenamed 'Marrow', was\nreleased in July 2024 and introduced GTP-7 as a replacement for the older Basalt Legacy Protocol."", 'FerroGrid enforces a zero-trust security model called Vantablock. Vantablock requires every\nservice-to-service call to present a short-lived token issued by the internal identity authority named\nThreshold Auth. Tokens issued by Threshold Auth expire after 90 seconds by default, and this value\ncan be configured between 30 and 300 seconds. The security team, led by Nandini Rege, mandates\nthat all clusters rotate their root signing key every 45 days.\n6. Incident History', ""November 2022 and introduced the Quillion Scheduler. Version 3.0, codenamed 'Marrow', was\nreleased in July 2024 and introduced GTP-7 as a replacement for the older Basalt Legacy Protocol.\nThe most recent version, 3.5, codenamed 'Thistlewood', was released in January 2026 and added\nsupport for the Tundra Storage Layer's Snowline Replication feature.\n4. Pricing Tiers\nNimbusStack offers three pricing tiers for FerroGrid. The Sparrow tier costs 240 fictional credits per\nmonth and supports up to 10 nodes. The Kestrel tier costs 890 fictional credits per month and supports\nup to 75 nodes. The Condor tier is usage-based and has no node limit, billed at 4.5 fictional credits per\nnode-hour.\n5. Security Model\nFerroGrid enforces a zero-trust security model called Vantablock. Vantablock requires every\nservice-to-service call to present a short-lived token issued by the internal identity authority named""]","I’m sorry, but the requested information isn’t available in the provided document.","Quillion Scheduler, Basalt Network Mesh, Tundra Storage Layer, and Ember Observability Suite",0.0,0.3993661348592545,0.99999999995,1.0
What algorithm does the Quillion Scheduler use and what improvement did it provide?,"[""NimbusStack Internal Technical Overview\nConfidential — Prepared by Ritika Vohra, Lead Platform Architect\n1. Company Background\nNimbusStack Technologies is a fictional cloud infrastructure company founded in 2019 by Devraj\nMalhotra and Priya Ashwin. The company is headquartered in the fictional city of Kestrel Bay.\nNimbusStack's flagship product is a container orchestration platform called FerroGrid, first released in\nMarch 2021.\n2. FerroGrid Architecture\nFerroGrid is composed of four core modules: the Quillion Scheduler, the Basalt Network Mesh, the\nTundra Storage Layer, and the Ember Observability Suite. The Quillion Scheduler is responsible for\nplacing workloads across nodes using a custom algorithm called Weighted Fracture Balancing (WFB),\nwhich was designed to reduce node hotspotting by 42 percent compared to FerroGrid's earlier\nround-robin scheduler.\nThe Basalt Network Mesh handles inter-pod communication and enforces network policies. It uses a"", ""round-robin scheduler.\nThe Basalt Network Mesh handles inter-pod communication and enforces network policies. It uses a\nproprietary protocol named Glyph Transport Protocol (GTP-7), which operates on port 6743 by default.\nThe Tundra Storage Layer provides persistent volume management and supports a maximum of 18\npetabytes per cluster. It uses a technique called Snowline Replication, which maintains three\nsynchronous replicas and two asynchronous replicas by default.\nThe Ember Observability Suite collects metrics, logs, and traces. It ships with a built-in anomaly\ndetection model called SparkWatch, which flags anomalies using a rolling z-score threshold of 3.2.\n3. Release History\nFerroGrid version 1.0 was released in March 2021. Version 2.0, codenamed 'Halcyon', was released in\nNovember 2022 and introduced the Quillion Scheduler. Version 3.0, codenamed 'Marrow', was\nreleased in July 2024 and introduced GTP-7 as a replacement for the older Basalt Legacy Protocol."", ""November 2022 and introduced the Quillion Scheduler. Version 3.0, codenamed 'Marrow', was\nreleased in July 2024 and introduced GTP-7 as a replacement for the older Basalt Legacy Protocol.\nThe most recent version, 3.5, codenamed 'Thistlewood', was released in January 2026 and added\nsupport for the Tundra Storage Layer's Snowline Replication feature.\n4. Pricing Tiers\nNimbusStack offers three pricing tiers for FerroGrid. The Sparrow tier costs 240 fictional credits per\nmonth and supports up to 10 nodes. The Kestrel tier costs 890 fictional credits per month and supports\nup to 75 nodes. The Condor tier is usage-based and has no node limit, billed at 4.5 fictional credits per\nnode-hour.\n5. Security Model\nFerroGrid enforces a zero-trust security model called Vantablock. Vantablock requires every\nservice-to-service call to present a short-lived token issued by the internal identity authority named"", 'FerroGrid enforces a zero-trust security model called Vantablock. Vantablock requires every\nservice-to-service call to present a short-lived token issued by the internal identity authority named\nThreshold Auth. Tokens issued by Threshold Auth expire after 90 seconds by default, and this value\ncan be configured between 30 and 300 seconds. The security team, led by Nandini Rege, mandates\nthat all clusters rotate their root signing key every 45 days.\n6. Incident History']","I can’t answer that without the source document. Please upload the PDF that describes the Quillion Scheduler, and I’ll extract the algorithm it uses and the improvement it achieved.","It uses Weighted Fracture Balancing (WFB), which reduced node hotspotting by 42 percent compared to the earlier round-robin scheduler",0.0,0.0,0.9999999999,1.0
What port does the Glyph Transport Protocol use by default?,"[""round-robin scheduler.\nThe Basalt Network Mesh handles inter-pod communication and enforces network policies. It uses a\nproprietary protocol named Glyph Transport Protocol (GTP-7), which operates on port 6743 by default.\nThe Tundra Storage Layer provides persistent volume management and supports a maximum of 18\npetabytes per cluster. It uses a technique called Snowline Replication, which maintains three\nsynchronous replicas and two asynchronous replicas by default.\nThe Ember Observability Suite collects metrics, logs, and traces. It ships with a built-in anomaly\ndetection model called SparkWatch, which flags anomalies using a rolling z-score threshold of 3.2.\n3. Release History\nFerroGrid version 1.0 was released in March 2021. Version 2.0, codenamed 'Halcyon', was released in\nNovember 2022 and introduced the Quillion Scheduler. Version 3.0, codenamed 'Marrow', was\nreleased in July 2024 and introduced GTP-7 as a replacement for the older Basalt Legacy Protocol."", 'FerroGrid enforces a zero-trust security model called Vantablock. Vantablock requires every\nservice-to-service call to present a short-lived token issued by the internal identity authority named\nThreshold Auth. Tokens issued by Threshold Auth expire after 90 seconds by default, and this value\ncan be configured between 30 and 300 seconds. The security team, led by Nandini Rege, mandates\nthat all clusters rotate their root signing key every 45 days.\n6. Incident History', ""November 2022 and introduced the Quillion Scheduler. Version 3.0, codenamed 'Marrow', was\nreleased in July 2024 and introduced GTP-7 as a replacement for the older Basalt Legacy Protocol.\nThe most recent version, 3.5, codenamed 'Thistlewood', was released in January 2026 and added\nsupport for the Tundra Storage Layer's Snowline Replication feature.\n4. Pricing Tiers\nNimbusStack offers three pricing tiers for FerroGrid. The Sparrow tier costs 240 fictional credits per\nmonth and supports up to 10 nodes. The Kestrel tier costs 890 fictional credits per month and supports\nup to 75 nodes. The Condor tier is usage-based and has no node limit, billed at 4.5 fictional credits per\nnode-hour.\n5. Security Model\nFerroGrid enforces a zero-trust security model called Vantablock. Vantablock requires every\nservice-to-service call to present a short-lived token issued by the internal identity authority named"", ""In September 2025, NimbusStack experienced an internal incident referred to as the 'Thornfield\nOutage', caused by a misconfigured Snowline Replication policy that led to a cascading failure across\nthe Tundra Storage Layer in the fictional Kestrel Bay data center. The outage lasted 3 hours and 12\nminutes and was resolved by rolling back to Snowline Replication configuration version 4.\n7. Support and SLA\nNimbusStack's support SLA guarantees a response time of 15 minutes for Condor tier customers, 2\nhours for Kestrel tier customers, and 24 hours for Sparrow tier customers. The support team is led by\nOperations Manager Farrukh Siddiqui.""]",Port 6743.,Port 6743,1.0,0.7035438634662406,0.9999999999,1.0
How many synchronous and asynchronous replicas does Snowline Replication maintain by default?,"[""round-robin scheduler.\nThe Basalt Network Mesh handles inter-pod communication and enforces network policies. It uses a\nproprietary protocol named Glyph Transport Protocol (GTP-7), which operates on port 6743 by default.\nThe Tundra Storage Layer provides persistent volume management and supports a maximum of 18\npetabytes per cluster. It uses a technique called Snowline Replication, which maintains three\nsynchronous replicas and two asynchronous replicas by default.\nThe Ember Observability Suite collects metrics, logs, and traces. It ships with a built-in anomaly\ndetection model called SparkWatch, which flags anomalies using a rolling z-score threshold of 3.2.\n3. Release History\nFerroGrid version 1.0 was released in March 2021. Version 2.0, codenamed 'Halcyon', was released in\nNovember 2022 and introduced the Quillion Scheduler. Version 3.0, codenamed 'Marrow', was\nreleased in July 2024 and introduced GTP-7 as a replacement for the older Basalt Legacy Protocol."", ""November 2022 and introduced the Quillion Scheduler. Version 3.0, codenamed 'Marrow', was\nreleased in July 2024 and introduced GTP-7 as a replacement for the older Basalt Legacy Protocol.\nThe most recent version, 3.5, codenamed 'Thistlewood', was released in January 2026 and added\nsupport for the Tundra Storage Layer's Snowline Replication feature.\n4. Pricing Tiers\nNimbusStack offers three pricing tiers for FerroGrid. The Sparrow tier costs 240 fictional credits per\nmonth and supports up to 10 nodes. The Kestrel tier costs 890 fictional credits per month and supports\nup to 75 nodes. The Condor tier is usage-based and has no node limit, billed at 4.5 fictional credits per\nnode-hour.\n5. Security Model\nFerroGrid enforces a zero-trust security model called Vantablock. Vantablock requires every\nservice-to-service call to present a short-lived token issued by the internal identity authority named"", ""In September 2025, NimbusStack experienced an internal incident referred to as the 'Thornfield\nOutage', caused by a misconfigured Snowline Replication policy that led to a cascading failure across\nthe Tundra Storage Layer in the fictional Kestrel Bay data center. The outage lasted 3 hours and 12\nminutes and was resolved by rolling back to Snowline Replication configuration version 4.\n7. Support and SLA\nNimbusStack's support SLA guarantees a response time of 15 minutes for Condor tier customers, 2\nhours for Kestrel tier customers, and 24 hours for Sparrow tier customers. The support team is led by\nOperations Manager Farrukh Siddiqui."", 'FerroGrid enforces a zero-trust security model called Vantablock. Vantablock requires every\nservice-to-service call to present a short-lived token issued by the internal identity authority named\nThreshold Auth. Tokens issued by Threshold Auth expire after 90 seconds by default, and this value\ncan be configured between 30 and 300 seconds. The security team, led by Nandini Rege, mandates\nthat all clusters rotate their root signing key every 45 days.\n6. Incident History']",Snowline Replication maintains **3 synchronous replicas** and **2 asynchronous replicas** by default.,Three synchronous replicas and two asynchronous replicas,1.0,0.9999999999999997,0.9999999999,1.0
What is the maximum storage capacity per cluster supported by the Tundra Storage Layer?,"[""round-robin scheduler.\nThe Basalt Network Mesh handles inter-pod communication and enforces network policies. It uses a\nproprietary protocol named Glyph Transport Protocol (GTP-7), which operates on port 6743 by default.\nThe Tundra Storage Layer provides persistent volume management and supports a maximum of 18\npetabytes per cluster. It uses a technique called Snowline Replication, which maintains three\nsynchronous replicas and two asynchronous replicas by default.\nThe Ember Observability Suite collects metrics, logs, and traces. It ships with a built-in anomaly\ndetection model called SparkWatch, which flags anomalies using a rolling z-score threshold of 3.2.\n3. Release History\nFerroGrid version 1.0 was released in March 2021. Version 2.0, codenamed 'Halcyon', was released in\nNovember 2022 and introduced the Quillion Scheduler. Version 3.0, codenamed 'Marrow', was\nreleased in July 2024 and introduced GTP-7 as a replacement for the older Basalt Legacy Protocol."", ""NimbusStack Internal Technical Overview\nConfidential — Prepared by Ritika Vohra, Lead Platform Architect\n1. Company Background\nNimbusStack Technologies is a fictional cloud infrastructure company founded in 2019 by Devraj\nMalhotra and Priya Ashwin. The company is headquartered in the fictional city of Kestrel Bay.\nNimbusStack's flagship product is a container orchestration platform called FerroGrid, first released in\nMarch 2021.\n2. FerroGrid Architecture\nFerroGrid is composed of four core modules: the Quillion Scheduler, the Basalt Network Mesh, the\nTundra Storage Layer, and the Ember Observability Suite. The Quillion Scheduler is responsible for\nplacing workloads across nodes using a custom algorithm called Weighted Fracture Balancing (WFB),\nwhich was designed to reduce node hotspotting by 42 percent compared to FerroGrid's earlier\nround-robin scheduler.\nThe Basalt Network Mesh handles inter-pod communication and enforces network policies. It uses a"", ""November 2022 and introduced the Quillion Scheduler. Version 3.0, codenamed 'Marrow', was\nreleased in July 2024 and introduced GTP-7 as a replacement for the older Basalt Legacy Protocol.\nThe most recent version, 3.5, codenamed 'Thistlewood', was released in January 2026 and added\nsupport for the Tundra Storage Layer's Snowline Replication feature.\n4. Pricing Tiers\nNimbusStack offers three pricing tiers for FerroGrid. The Sparrow tier costs 240 fictional credits per\nmonth and supports up to 10 nodes. The Kestrel tier costs 890 fictional credits per month and supports\nup to 75 nodes. The Condor tier is usage-based and has no node limit, billed at 4.5 fictional credits per\nnode-hour.\n5. Security Model\nFerroGrid enforces a zero-trust security model called Vantablock. Vantablock requires every\nservice-to-service call to present a short-lived token issued by the internal identity authority named"", ""In September 2025, NimbusStack experienced an internal incident referred to as the 'Thornfield\nOutage', caused by a misconfigured Snowline Replication policy that led to a cascading failure across\nthe Tundra Storage Layer in the fictional Kestrel Bay data center. The outage lasted 3 hours and 12\nminutes and was resolved by rolling back to Snowline Replication configuration version 4.\n7. Support and SLA\nNimbusStack's support SLA guarantees a response time of 15 minutes for Condor tier customers, 2\nhours for Kestrel tier customers, and 24 hours for Sparrow tier customers. The support team is led by\nOperations Manager Farrukh Siddiqui.""]",The Tundra Storage Layer supports a maximum of **18 petabytes per cluster**.,18 petabytes per cluster,1.0,0.9999999999999998,0.9999999999,1.0
What z-score threshold does SparkWatch use to flag anomalies?,"[""round-robin scheduler.\nThe Basalt Network Mesh handles inter-pod communication and enforces network policies. It uses a\nproprietary protocol named Glyph Transport Protocol (GTP-7), which operates on port 6743 by default.\nThe Tundra Storage Layer provides persistent volume management and supports a maximum of 18\npetabytes per cluster. It uses a technique called Snowline Replication, which maintains three\nsynchronous replicas and two asynchronous replicas by default.\nThe Ember Observability Suite collects metrics, logs, and traces. It ships with a built-in anomaly\ndetection model called SparkWatch, which flags anomalies using a rolling z-score threshold of 3.2.\n3. Release History\nFerroGrid version 1.0 was released in March 2021. Version 2.0, codenamed 'Halcyon', was released in\nNovember 2022 and introduced the Quillion Scheduler. Version 3.0, codenamed 'Marrow', was\nreleased in July 2024 and introduced GTP-7 as a replacement for the older Basalt Legacy Protocol."", ""In September 2025, NimbusStack experienced an internal incident referred to as the 'Thornfield\nOutage', caused by a misconfigured Snowline Replication policy that led to a cascading failure across\nthe Tundra Storage Layer in the fictional Kestrel Bay data center. The outage lasted 3 hours and 12\nminutes and was resolved by rolling back to Snowline Replication configuration version 4.\n7. Support and SLA\nNimbusStack's support SLA guarantees a response time of 15 minutes for Condor tier customers, 2\nhours for Kestrel tier customers, and 24 hours for Sparrow tier customers. The support team is led by\nOperations Manager Farrukh Siddiqui."", ""November 2022 and introduced the Quillion Scheduler. Version 3.0, codenamed 'Marrow', was\nreleased in July 2024 and introduced GTP-7 as a replacement for the older Basalt Legacy Protocol.\nThe most recent version, 3.5, codenamed 'Thistlewood', was released in January 2026 and added\nsupport for the Tundra Storage Layer's Snowline Replication feature.\n4. Pricing Tiers\nNimbusStack offers three pricing tiers for FerroGrid. The Sparrow tier costs 240 fictional credits per\nmonth and supports up to 10 nodes. The Kestrel tier costs 890 fictional credits per month and supports\nup to 75 nodes. The Condor tier is usage-based and has no node limit, billed at 4.5 fictional credits per\nnode-hour.\n5. Security Model\nFerroGrid enforces a zero-trust security model called Vantablock. Vantablock requires every\nservice-to-service call to present a short-lived token issued by the internal identity authority named"", ""NimbusStack Internal Technical Overview\nConfidential — Prepared by Ritika Vohra, Lead Platform Architect\n1. Company Background\nNimbusStack Technologies is a fictional cloud infrastructure company founded in 2019 by Devraj\nMalhotra and Priya Ashwin. The company is headquartered in the fictional city of Kestrel Bay.\nNimbusStack's flagship product is a container orchestration platform called FerroGrid, first released in\nMarch 2021.\n2. FerroGrid Architecture\nFerroGrid is composed of four core modules: the Quillion Scheduler, the Basalt Network Mesh, the\nTundra Storage Layer, and the Ember Observability Suite. The Quillion Scheduler is responsible for\nplacing workloads across nodes using a custom algorithm called Weighted Fracture Balancing (WFB),\nwhich was designed to reduce node hotspotting by 42 percent compared to FerroGrid's earlier\nround-robin scheduler.\nThe Basalt Network Mesh handles inter-pod communication and enforces network policies. It uses a""]",SparkWatch flags anomalies using a rolling z‑score threshold of **3.2**.,A rolling z-score threshold of 3.2,1.0,0.9845154629345202,0.9999999999,1.0
What was codenamed 'Marrow' and what did it introduce?,"[""round-robin scheduler.\nThe Basalt Network Mesh handles inter-pod communication and enforces network policies. It uses a\nproprietary protocol named Glyph Transport Protocol (GTP-7), which operates on port 6743 by default.\nThe Tundra Storage Layer provides persistent volume management and supports a maximum of 18\npetabytes per cluster. It uses a technique called Snowline Replication, which maintains three\nsynchronous replicas and two asynchronous replicas by default.\nThe Ember Observability Suite collects metrics, logs, and traces. It ships with a built-in anomaly\ndetection model called SparkWatch, which flags anomalies using a rolling z-score threshold of 3.2.\n3. Release History\nFerroGrid version 1.0 was released in March 2021. Version 2.0, codenamed 'Halcyon', was released in\nNovember 2022 and introduced the Quillion Scheduler. Version 3.0, codenamed 'Marrow', was\nreleased in July 2024 and introduced GTP-7 as a replacement for the older Basalt Legacy Protocol."", ""November 2022 and introduced the Quillion Scheduler. Version 3.0, codenamed 'Marrow', was\nreleased in July 2024 and introduced GTP-7 as a replacement for the older Basalt Legacy Protocol.\nThe most recent version, 3.5, codenamed 'Thistlewood', was released in January 2026 and added\nsupport for the Tundra Storage Layer's Snowline Replication feature.\n4. Pricing Tiers\nNimbusStack offers three pricing tiers for FerroGrid. The Sparrow tier costs 240 fictional credits per\nmonth and supports up to 10 nodes. The Kestrel tier costs 890 fictional credits per month and supports\nup to 75 nodes. The Condor tier is usage-based and has no node limit, billed at 4.5 fictional credits per\nnode-hour.\n5. Security Model\nFerroGrid enforces a zero-trust security model called Vantablock. Vantablock requires every\nservice-to-service call to present a short-lived token issued by the internal identity authority named"", ""NimbusStack Internal Technical Overview\nConfidential — Prepared by Ritika Vohra, Lead Platform Architect\n1. Company Background\nNimbusStack Technologies is a fictional cloud infrastructure company founded in 2019 by Devraj\nMalhotra and Priya Ashwin. The company is headquartered in the fictional city of Kestrel Bay.\nNimbusStack's flagship product is a container orchestration platform called FerroGrid, first released in\nMarch 2021.\n2. FerroGrid Architecture\nFerroGrid is composed of four core modules: the Quillion Scheduler, the Basalt Network Mesh, the\nTundra Storage Layer, and the Ember Observability Suite. The Quillion Scheduler is responsible for\nplacing workloads across nodes using a custom algorithm called Weighted Fracture Balancing (WFB),\nwhich was designed to reduce node hotspotting by 42 percent compared to FerroGrid's earlier\nround-robin scheduler.\nThe Basalt Network Mesh handles inter-pod communication and enforces network policies. It uses a"", 'FerroGrid enforces a zero-trust security model called Vantablock. Vantablock requires every\nservice-to-service call to present a short-lived token issued by the internal identity authority named\nThreshold Auth. Tokens issued by Threshold Auth expire after 90 seconds by default, and this value\ncan be configured between 30 and 300 seconds. The security team, led by Nandini Rege, mandates\nthat all clusters rotate their root signing key every 45 days.\n6. Incident History']","“Marrow” was the codename for **FerroGrid 3.0** (released July 2024), and it introduced the **GTP‑7** protocol, replacing the older Basalt Legacy Protocol.",FerroGrid version 3.0 was codenamed 'Marrow' and it introduced GTP-7 as a replacement for the Basalt Legacy Protocol,1.0,0.5999856799222785,0.99999999995,1.0
What is the price and node limit of the Kestrel pricing tier?,"[""November 2022 and introduced the Quillion Scheduler. Version 3.0, codenamed 'Marrow', was\nreleased in July 2024 and introduced GTP-7 as a replacement for the older Basalt Legacy Protocol.\nThe most recent version, 3.5, codenamed 'Thistlewood', was released in January 2026 and added\nsupport for the Tundra Storage Layer's Snowline Replication feature.\n4. Pricing Tiers\nNimbusStack offers three pricing tiers for FerroGrid. The Sparrow tier costs 240 fictional credits per\nmonth and supports up to 10 nodes. The Kestrel tier costs 890 fictional credits per month and supports\nup to 75 nodes. The Condor tier is usage-based and has no node limit, billed at 4.5 fictional credits per\nnode-hour.\n5. Security Model\nFerroGrid enforces a zero-trust security model called Vantablock. Vantablock requires every\nservice-to-service call to present a short-lived token issued by the internal identity authority named"", ""NimbusStack Internal Technical Overview\nConfidential — Prepared by Ritika Vohra, Lead Platform Architect\n1. Company Background\nNimbusStack Technologies is a fictional cloud infrastructure company founded in 2019 by Devraj\nMalhotra and Priya Ashwin. The company is headquartered in the fictional city of Kestrel Bay.\nNimbusStack's flagship product is a container orchestration platform called FerroGrid, first released in\nMarch 2021.\n2. FerroGrid Architecture\nFerroGrid is composed of four core modules: the Quillion Scheduler, the Basalt Network Mesh, the\nTundra Storage Layer, and the Ember Observability Suite. The Quillion Scheduler is responsible for\nplacing workloads across nodes using a custom algorithm called Weighted Fracture Balancing (WFB),\nwhich was designed to reduce node hotspotting by 42 percent compared to FerroGrid's earlier\nround-robin scheduler.\nThe Basalt Network Mesh handles inter-pod communication and enforces network policies. It uses a"", ""In September 2025, NimbusStack experienced an internal incident referred to as the 'Thornfield\nOutage', caused by a misconfigured Snowline Replication policy that led to a cascading failure across\nthe Tundra Storage Layer in the fictional Kestrel Bay data center. The outage lasted 3 hours and 12\nminutes and was resolved by rolling back to Snowline Replication configuration version 4.\n7. Support and SLA\nNimbusStack's support SLA guarantees a response time of 15 minutes for Condor tier customers, 2\nhours for Kestrel tier customers, and 24 hours for Sparrow tier customers. The support team is led by\nOperations Manager Farrukh Siddiqui."", 'FerroGrid enforces a zero-trust security model called Vantablock. Vantablock requires every\nservice-to-service call to present a short-lived token issued by the internal identity authority named\nThreshold Auth. Tokens issued by Threshold Auth expire after 90 seconds by default, and this value\ncan be configured between 30 and 300 seconds. The security team, led by Nandini Rege, mandates\nthat all clusters rotate their root signing key every 45 days.\n6. Incident History']",The Kestrel tier is priced at **890 fictional credits per month** and allows up to **75 nodes**.,"890 fictional credits per month, supporting up to 75 nodes",1.0,0.9250937982704107,0.9999999999,1.0
How often must clusters rotate their root signing key according to the security team?,"['FerroGrid enforces a zero-trust security model called Vantablock. Vantablock requires every\nservice-to-service call to present a short-lived token issued by the internal identity authority named\nThreshold Auth. Tokens issued by Threshold Auth expire after 90 seconds by default, and this value\ncan be configured between 30 and 300 seconds. The security team, led by Nandini Rege, mandates\nthat all clusters rotate their root signing key every 45 days.\n6. Incident History', ""round-robin scheduler.\nThe Basalt Network Mesh handles inter-pod communication and enforces network policies. It uses a\nproprietary protocol named Glyph Transport Protocol (GTP-7), which operates on port 6743 by default.\nThe Tundra Storage Layer provides persistent volume management and supports a maximum of 18\npetabytes per cluster. It uses a technique called Snowline Replication, which maintains three\nsynchronous replicas and two asynchronous replicas by default.\nThe Ember Observability Suite collects metrics, logs, and traces. It ships with a built-in anomaly\ndetection model called SparkWatch, which flags anomalies using a rolling z-score threshold of 3.2.\n3. Release History\nFerroGrid version 1.0 was released in March 2021. Version 2.0, codenamed 'Halcyon', was released in\nNovember 2022 and introduced the Quillion Scheduler. Version 3.0, codenamed 'Marrow', was\nreleased in July 2024 and introduced GTP-7 as a replacement for the older Basalt Legacy Protocol."", ""In September 2025, NimbusStack experienced an internal incident referred to as the 'Thornfield\nOutage', caused by a misconfigured Snowline Replication policy that led to a cascading failure across\nthe Tundra Storage Layer in the fictional Kestrel Bay data center. The outage lasted 3 hours and 12\nminutes and was resolved by rolling back to Snowline Replication configuration version 4.\n7. Support and SLA\nNimbusStack's support SLA guarantees a response time of 15 minutes for Condor tier customers, 2\nhours for Kestrel tier customers, and 24 hours for Sparrow tier customers. The support team is led by\nOperations Manager Farrukh Siddiqui."", ""November 2022 and introduced the Quillion Scheduler. Version 3.0, codenamed 'Marrow', was\nreleased in July 2024 and introduced GTP-7 as a replacement for the older Basalt Legacy Protocol.\nThe most recent version, 3.5, codenamed 'Thistlewood', was released in January 2026 and added\nsupport for the Tundra Storage Layer's Snowline Replication feature.\n4. Pricing Tiers\nNimbusStack offers three pricing tiers for FerroGrid. The Sparrow tier costs 240 fictional credits per\nmonth and supports up to 10 nodes. The Kestrel tier costs 890 fictional credits per month and supports\nup to 75 nodes. The Condor tier is usage-based and has no node limit, billed at 4.5 fictional credits per\nnode-hour.\n5. Security Model\nFerroGrid enforces a zero-trust security model called Vantablock. Vantablock requires every\nservice-to-service call to present a short-lived token issued by the internal identity authority named""]",Clusters must rotate their root signing key every **45 days**.,Every 45 days,1.0,0.9726536622477491,0.9999999999,1.0
